artist,title,lyrics,mood,year
Matthew and the Atlas,The Waves,"Down in the waves I swam
Pictures and photographs hidden in your hands
And if you go
Then I'll go to
Down to the ocean
With you
This story is over now
You'll see that soon
And while the wood it burned
I stayed too long
Now the stars are out, the stars are out, the stars
Well I'm not afraid of the mess that you made
I've seen your heart
It's tattered and frayed
The skin on my bones and blood in my veins
I'll wait by the ocean
And home...
This story is over now
You'll see that soon
And while the wood it burned
I stayed too long
Now the stars are out, the stars are out, the stars",sad,2010
The Perishers,Nothing Like You and I,"We spent some time together walking
Spent some time just talking
About who we were
You held my hand so very tightly
And told me what we could be
Dreaming of

There's nothing like you and I
Nothing like you and I
There's nothing like you and I


We spent some time together drinking
Spent some time just thinking
About days of joy
As our hearts started beating faster
I recalled your laughter
From long ago

There's nothing like you and I
Nothing like you and I
There's nothing like you and I

We spent some time together crying
Spent some time just trying
To let each other go
I held your hand so very tightly
And told you what I would be
Dreaming of


We spent some time together drinking
Spent some time just thinking
About days of joy
As our hearts started beating faster
I recalled your laughter
From long ago

There's nothing like you and I
Nothing like you and I
There's nothing like you and I

We spent some time together crying
Spent some time just trying
To let each other go
I held your hand so very tightly
And told you what I would be
Dreaming of",sad,2003
Analog Rebellion,Madi Don’t Leave,"It takes a lot to phase me
I'm pretty stable, pretty sane
But I'm looking at my future
And God, do I have to lose her?

We share conversations
On how we're all just floating
Through space and nothing matters
I'm looking for a pattern

Is it possible to say? Baby, let's run away
To the East coast or Seattle, Corpus or San Marcos
I've got a credit card and a reliable car
Let's drive to Pennsylvania

Madi dear, can't we just disappear
And take our chances
On a teenagers' romances?
Put our money where our mouth is


Madi dear, can't we just disappear
And take our chances
On a teenager's romances?
Put our money where our mouth is

It takes a lot to make me pretty angry, very sad
Now I'm looking towards the outcome
There must some hidden reason

Is there anyway you could change schools and stay
Up here in Fort Worth?
'Cause you're what I look for

I've got a hopeless crush
And maybe that don't mean much to you
But I'm hoping, this can't keep going

Madi dear, can't we just disappear
And take our chances
On a teenagers' romances?
Put our money where our mouth is


Madi dear, can't we just disappear
And take our chances
On a teenagers' romances?
Put our money where our mouth is

I've got a credit card and a reliable car
Let's drive to Pennsylvania

Madi dear, can't we just disappear
And take our chances
On a teenagers' romances?
Put our money where our mouth is

Madi dear, can't we just disappear
And take our chances
On a teenagers' romances?
Put our money where our mouth is

Madi dear, can't we just disappear
And take our chances
On a teenagers' romances?
Put our money where our mouth is

Madi dear, can't we just disappear
On a teenagers' romances?",sad,2008
Freelance Whales,Broken Horses,"October's got those orange eyes
But somehow I still lost sight
When you lifted the lid off of my pumpkin head 
And kissed me goodnight
Should it be a thorn in my side
We never quite broke that horse
She slept in the cul-de-sac rye
Seven miles from my front porch

Bundle up and come with me now
Down the road to the burnt down barn
We could make a blanket of coats
And breathe our souls into the neighbours front lawn
But oh god that look in your eye
Trouble that does not search words
It sprung from the biblical vine
And are waiting to return to the dirt

The stitches in your winter clothes
Your cello bows
We stole your hair to make them
We're sorry for the iron shoes
We nailed to you
And stuck you in the rain alone
You sprinted away, sprinted away
To where I don't know
God's moving in your bloodstream
Where the cross beats aren't so slow

You swept all the red from my cheeks
I didn't hear you come back inside
And light up the gas in the den
And stand there in the thin winter light
But oh god that curve in your spine
A question mark 
A doctor sign was framed by the windowsill
And you saw something I did not in the night
You saw something I did not in the night

The stitches in your winter clothes
Your cello bows
We stole your hair to make them
We're sorry for the iron shoes
We nailed to you
And stuck you in the rain alone
You sprinted away, sprinted away 
To where I don't know
(God's moving in your bloodstream
Where the cross beats aren't so slow) x3
(It's moving in your bloodstream
Where the cross beats aren't so slow) x3",sad,2009
Bright Eyes,"No Lies, Just Love","It was in the march of the winter I turned seventeen
That I bought those pills
I thought I would need
And I wrote a letter to my family
Said it's not your fault
And you've been good to me
Just lately I've been feeling
Like I don't belong
Like the ground's not mine to walk upon
And I've heard that music
Echo through the house
Where my grandmother drank
By herself
And I sat watching a flower
As it was withering
I was embarrassed by its honesty
So I'd prefer to be remembered as a smiling face
Not this fucking wreck
That's taken its place

So please forgive what I have done
No you can't stay mad at the setting sun
'Cause we all get tired, I mean eventually
There is nothing left to do but sleep

But spring came bearing sunlight
Those persuasive rays
So I gave myself a few more days
My salvation it came, quite suddenly
When Justin spoke very plainly
He said ""Of course it's your decision,
But just so you know,
If you decide to leave,
Soon I will follow""

I wrote this for a baby
Who has yet to be born
My brother's first child
I hope that womb's not too warm
'Cause it's cold out here
And it'll be quite a shock
To breathe this air
To discover loss
So I'd like to make some changes
Before you arive
So when your new eyes meet mine
They won't see no lies
Just love.
Just love.

I will be pure
No, no, I know i will be pure
Like snow, like gold
Like snow, like gold
Like snow, like snow
Like gold, like gold, like gold",sad,2000
Avalanche City,The Citizens,"I can see the rainclouds over
The grey chased away the colors
It's hailing and storming all on the citizens
Leaving them running for their umbrellas

Hold on, hold on
She said to me
Won't be long, won't be long
'Til we all will see
The colors will return to their owners
And citizens emerge from the covers

I can see the fear take over
Hearts hardened to the sound of closeness
It's aching and pounding all on the citizens
Leaving them wishing they had a lover

Hold on, hold on
She said to me
Won't be long, won't be long
'Til we all will see
The lovers will emerge from their silence
And citizens return from their covers

And the lights on the streets go dark
But all the heaviness is in my heart
And the colors on the leaves are grey
But I hold heaven in my heart today

And the rainclouds begin to pour
And the greyness defeats us all
And I know she said that it's okay
But I'll take anything she will say",sad,2011
Never Shout Never,I Love You More Than You Will Ever Know,"Oh, I know that I am here
And you are there
But we still have our love
We move just like the moon and sun.
The sun comes up the moon rolls down
A world apart but they don't make a sound.
They know their love spins us round.
I've been to heaven, I've been to hell,
I've been to Vegas, and god knows where,
But nothing feels like home like you babe
I love you more than you will ever
Oh I've got my car and my guitar
A couple pills a couple scars.
But I made a wish on a lonesome star.
Star oh star, you shine so bright
Won't you grant me one small wish tonight
That I wont die on this destructive path of mine.
I've been to heaven, I've been to hell,
I've been to Vegas, and god knows where,
But nothing feels like home like you babe
I love you more than you will ever know
Oh oh Than you will know oh
Dear I love you more than you will ever know",sad,2010
Keaton Henson,Small Hands,"Miss you terribly already,
Miss the space between your eyelids,
Where I'd stare through awkward sentences
And avoid through awkward silence
Miss your teeth when they chatter,
When we smoked out in my garden
When we couldn't sleep for all the heat,
Soft talk began to harden.
Miss your small hands in the palm of mine
The fact they're good at making,
Miss your sitting up incessantly,
And the fact you're always waking in the night, night.
And I,
I hope for your life
You forget about mine
Forget about mine
Miss your teeth dug in my shoulder,
As we rolled in early morning,
Miss your arm dying beneath me,
As I lay there simply yawning
Please forget me, you were right dear,
I am cold and self-involved,
And though I'll miss you, recent lover
I am weak and therefore fold
Get distracted by my music,
Think of nothing else but art
I'll write my loneliness in poems,
If I can just think how to start
Dot my I's with eyebrow pencils,
Close my eyelids, hide my eyes,
I'll be idle in my ideals,
Think of nothing else but I.
I, and I
And I,
I hope for your life
You can forget about mine
Just forget about mine
Oh, mine.",sad,2010
Adele,Hometown Glory,"I've been walking in the same way as I did
Missing out the cracks in the pavement
And turning my heel and strutting my feet
""Is there anything I can do for you dear?
Is there anyone I could call?""
""No and thank you, please Madam.
I ain't lost, just wandering""
Round my hometown
Memories are fresh
Round my hometown
Ooh the people I've met
Are the wonders of my world
Are the wonders of my world
Are the wonders of this world
Are the wonders of now
I like it in the city when the air is so thick and opaque
I love to see everybody in short skirts, shorts and shades
I like it in the city when two worlds collide
You get the people and the government
Everybody taking different sides
Shows that we ain't gonna stand shit
Shows that we are united
Shows that we ain't gonna take it
Shows that we ain't gonna stand shit
Shows that we are united
Round my hometown
Memories are fresh
Round my hometown
Ooh the people I've met yea
Are the wonders of my world
Are the wonders of my world
Are the wonders of this world
Are the wonders of my world
Of my world, yeah
Of my world
Of my world, yeah",sad,2008
Lana Del Ray,Young and Beautiful,"I've seen the world, done it all
Had my cake now
Diamonds, brilliant, in Bel-Air now
Hot summer nights, mid July
When you and I were forever wild
The crazy days, city lights
The way you'd play with me like a child
Will you still love me
When I'm no longer young and beautiful?
Will you still love me
When I've got nothing but my aching soul?
I know you will, I know you will
I know that you will
Will you still love me when I'm no longer beautiful?
I've seen the world, lit it up
As my stage now
Channeling angels in a new age now
Hot summer days, rock and roll
The way you play for me at your show
And all the ways, I got to know
Your pretty face and electric soul
Will you still love me
When I'm no longer young and beautiful?
Will you still love me
When I've got nothing but my aching soul?
I know you will, I know you will
I know that you will
Will you still love me when I'm no longer beautiful?
Dear lord, when I get to heaven
Please let me bring my man
When he comes tell me that you'll let him in
Father tell me if you can
All that grace, all that body
All that face, makes me wanna party
He's my sun, he makes me shine like diamonds
Will you still love me
When I'm no longer young and beautiful?
Will you still love me
When I've got nothing but my aching soul?
I know you will, I know you will
I know that you will
Will you still love me when I'm no longer beautiful?
Will you still love me when I'm no longer beautiful?
Will you still love me when I'm not young and beautiful?",sad,2013
Regina Spektor,The Call,"It started out as a feeling
Which then grew into a hope
Which then turned into a quiet thought
Which then turned into a quiet word
And then that word grew louder and louder
'Til it was a battle cry
I'll come back
When you call me
No need to say goodbye
Just because everything's changing
Doesn't mean it's never been this way before
All you can do is try to know who your friends are
As you head off to the war
Pick a star on the dark horizon
And follow the light
You'll come back when it's over
No need to say goodbye
You'll come back when it's over
No need to say goodbye
Now we're back to the beginning
It's just a feeling and no one knows yet
But just because they can't feel it too
Doesn't mean that you have to forget
Let your memories grow stronger and stronger
'Til they're before your eyes
You'll come back
When they call you
No need to say goodbye
You'll come back
When they call you
No need to say goodbye",sad,2008
Whitney Houston,I Will Always Love You,"If I should stay
I would only be in your way
So I'll go but I know
I'll think of you every step of the way

And I... will always love you, ooh
Will always love you
You
My darling, you...
Mmm-mm

Bittersweet memories –
That is all I'm taking with me.
So good-bye.
Please don't cry:
We both know I'm not what you, you need

And I... will always love you
I... will always love you
You, ooh

[Instrumental / Sax solo]

I hope life treats you kind
And I hope you have all you've dreamed of
And I wish you joy and happiness
But above all this I wish you love

And I... will always love you
I will always love you
I will always love you
I will always love you

I will always love you
I, I will always love you.

You.
Darling, I love you.
I'll always...
I'll always love you.
Ooh
Ooh",sad,1992
The Temper Trap,Sweet Disposition,"Sweet disposition
Never too soon
Oh, reckless abandon
Like no one's watching you
A moment a love
A dream aloud
A kiss a cry
Our rights
Our wrongs
A moment, a love
A dream aloud
A moment, a love
A dream, aloud
So stay there
'Cause I'll be coming over
And while our blood's still young
It's so young, it runs
And won't stop 'til it's over
Won't stop to surrender
Songs of desperation
I played them for you
A moment, a love
A dream aloud
A kiss, a cry
Our rights
Our wrongs
A moment, a love
A dream aloud
A moment, a love
A dream aloud
Stay there
'Cause I'll be coming over
And while our blood's still young
It's so young, it runs
And won't stop 'til it's over
Won't stop to surrender
And won't stop 'til it's over
Won't stop 'til it's over
Won't stop 'til it's over
Won't stop to surrender",sad,2009
Scala and Kolacny Brothers,With or Without You,"See the stone set in your eyes
See the thorn twist in your side
I wait for you
Sleight of hand and twist of fate
On a bed of nails she makes me wait
And I wait' without you

With or without you
With or without you

Through the storm, we reach the shore
You gave it all but I want more
And I'm waiting for you'

With or without you
With or without you
I can't live with or without you

And you give yourself away
And you give yourself away
And you give, and you give
And you give yourself away

My hands are tied, my body bruised
She got me with nothing to win
And nothing left to lose And you give yourself away
And you give yourself away
And you give, and you give
And you give yourself away

With or without you
With or without you
I can't live
With or without you

With or without you
With or without you
I can't live
With or without you
With or without you",sad,2011
Gotye,Somebody That I Used to Know,"Now and then I think of when we were together
Like when you said you felt so happy you could die
Told myself that you were right for me
But felt so lonely in your company
But that was love and it's an ache I still remember
You can get addicted to a certain kind of sadness
Like resignation to the end, always the end
So when we found that we could not make sense
Well you said that we would still be friends
But I'll admit that I was glad it was over
But you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger and that feels so rough
No, you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know
Now you're just somebody that I used to know
Now you're just somebody that I used to know
Now and then I think of all the times you screwed me over
But had me believing it was always something that I'd done
But I don't wanna live that way
Reading into every word you say
You said that you could let it go
And I wouldn't catch you hung up on somebody that you used to know
But you didn't have to cut me off
Make out like it never happened and that we were nothing
And I don't even need your love
But you treat me like a stranger and that feels so rough
No, you didn't have to stoop so low
Have your friends collect your records and then change your number
I guess that I don't need that though
Now you're just somebody that I used to know
Somebody (I used to know)
(Somebody) Now you're just somebody that I used to know
Somebody (I used to know)
(Somebody) Now you're just somebody that I used to know
I used to know, that I used to know, I used to know somebody",sad,2011
Josh Groban,Remember When it Rained,"Wash away the thoughts inside
That keep my mind away from you
No more love and no more pride
And thoughts are all I have to do
Ooh remember when it rained
I felt the ground and look up high 
And called your name
Ooh remember when it rained
In the darkness I remain
Tears of hope run down my skin
Tears for you that will not dry
They magnify the one within
And let the outside slowly die
Ooh remember when it rained
I felt the ground and looked up high
And called your name
Ooh remember when it rained
In the water I remain
Running down
Oh oh oh 
No no no
Oh oh oh, running down",sad,2003
The Fray,You Found Me,"I found God on the corner of First in Amistad
Where the west was all but won
All alone
Smoking his last cigarette
I said where you been?
He said, ask anything
Where were you
When everything was falling apart?
All my days
Spent by the telephone
That never rang
And all I needed was a call
That never came
From the corner of First and Amistad
Lost and insecure
You found me, you found me
Lying on the floor
Surrounded, surrounded
Why'd you have to wait?
Where were you, where were you?
Just a little late
You found me, you found me
In the end
Everyone ends up alone
Losing her
The only one who's ever known
Who I am, who I'm not, and who I wanna be
No way to know
How long she will be next to me
Lost and insecure
You found me, you found me
Lying on the floor
Surrounded, surrounded
Why'd you have to wait?
Where were you, where were you?
Just a little late
You found me, you found me
Early morning
City breaks
I've been calling
For years and years and years and years
And you never left me no messages
You never send me no letters
You got some kind of nerve
Taking all I want
Lost and insecure
You found me, you found me
Lying on the floor
Where were you? Where were you?
Lost and insecure
You found me, you found me
Lying on the floor
Surrounded, surrounded
Why'd you have to wait?
Where were you, where were you?
Just a little late
You found me, you found me
Why'd you have to wait
To find me?
To find me?",sad,2009
Evanescence,My Immortal,"I'm so tired of being here
Suppressed by all my childish fears
And if you have to leave
I wish that you would just leave
'Cause your presence still lingers here
And it won't leave me alone
These wounds won't seem to heal, this pain is just too real
There's just too much that time cannot erase
When you cried, I'd wipe away all of your tears
When you'd scream, I'd fight away all of your fears
And I held your hand through all of these years
But you still have all of me
You used to captivate me by your resonating light
Now, I'm bound by the life you left behind
Your face it haunts my once pleasant dreams
Your voice it chased away all the sanity in me
These wounds won't seem to heal, this pain is just too real
There's just too much that time cannot erase
When you cried, I'd wipe away all of your tears
When you'd scream, I'd fight away all of your fears
And I held your hand through all of these years
But you still have all of me
I've tried so hard to tell myself that you're gone
But though you're still with me, I've been alone all along
When you cried, I'd wipe away all of your tears
When you'd scream, I'd fight away all of your fears
And I held your hand through all of these years
You still have all of me, me, me",sad,2000
Regina Spektor,Eet,"It's like forgetting the words to your favorite song
You can't believe it
You were always singing along
It was so easy and the words so sweet
You can't remember
You try to feel the beat
Eet, eet, eet, eet
Eet, eet, eet, eet
You spent half of your life trying to fall behind
You're using your headphones to drown out your mind
It was so easy, and the words so sweet
You can't remember
You try to move your feet
Eet, eet, eet, eet
Eet, eet, eet, eet
Someone's deciding whether or not to steal
He opens the window just to feel the chill
He hears that outside a small boy just starting to cry
'Cause it's his turn but his brother won't let him try
It's like forgetting the words to your favorite song
You can't believe it
You were always singing along
It was so easy and the words so sweet
You can't remember
You try to move your feet
It was so easy and the words so sweet
You can't remember, you try to feel the beat",sad,2009
OneRepublic,Apologize,"I'm holdin' on a rope
Got me ten feet off the ground
I'm hearing what you say
But I just can't make a sound (Oh yea..)
They tell me that you mean it
Then you go and cut me down
But wait
You tell me that your sorry
Didn't think I'd turn around 
And say
That it's too late to apologize
It's too late
Said it's too late to apologize
It's too late
I take another chance, take a fall, take a shot from you
I need you like a heart needs a beat
It's not from you (Yeaaaa)
I loved you with a fire red and I was turnin' blue
And to say
Sorry like the angel
Heaven let me think was you
But I'm afraid
It's too late to apologize
It's too late
Said it's too late to apologize
It's too late
It's too late to apologize
It's too late
Said it's too late to apologize
It's too late
Said it's too late to apologize
It's too late
Said it's too late to apologize
It's too late
I'm holdin' on the rope
Got me ten feet off the ground",sad,2007
The Fray,How to Save a Life,"Step one, you say we need to talk
He walks, you say sit down, it's just a talk
He smiles politely back at you
You stare politely right on through
Some sort of window to your right
As he goes left, and you stay right
Between the lines of fear and blame
You begin to wonder why you came
Where did I go wrong?
I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life
Let him know that you know best
Cause after all, you do know best
Try to slip past his defense
Without granting innocence
Lay down a list of what is wrong
The things you've told him all along
And pray to God he hears you
And I pray to God he hears you
Where did I go wrong?
I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life
As he begins to raise his voice
You lower yours and grant him one last choice
Drive until you lose the road
Or break with the ones you've followed
He will do one of two things
He will admit to everything
Or he'll say he's just not the same
And you'll begin to wonder why you came
Where did I go wrong?
I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life
Where did I go wrong?
I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life
How to save a life
How to save a life
Where did I go wrong?
I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life
Where did I go wrong?
I lost a friend
Somewhere along in the bitterness
And I would have stayed up with you all night
Had I known how to save a life
How to save a life
How to save a life",sad,2005
Frou Frou,Let Go,"Drink up baby doll
Mmm are you in or out
Leave your things behind
'Cause it's all going off without you
Excuse me, too busy oh, writing a tragedy
These mishaps you bubble wrap when
You've no idea what you're like
so let go
And jump in
Oh well whatcha waiting for
It's all right
'Cause there's beauty in the breakdown
(So let go) yeah let go
And just get in
Oh it's so amazing here
It's all right
'Cause there's beauty in the breakdown
It gains the more it give
And it rises with the fall
So hand me that remote
Can't you see that all that stuff's a sideshow
Such boundless pleasure
We've no time for later now
You can't await your own arrival
You've twenty seconds to comply
so let go
And jump in
Oh well whatcha waiting for
It's all right
'Cause there's beauty in the breakdown
(So let go) yeah let go
And just get in
Oh it's so amazing here
It's all right
'Cause there's beauty in the breakdown
And jump in
Oh well whatcha waiting for
It's all right
'Cause there's beauty in the breakdown
(So let go) yeah let go
And just get in
Oh it's so amazing here
It's all right
'Cause there's beauty in the breakdown
Mmm the breakdown
'Cause there's beauty in the breakdown
Hey, the breakdown
So amazing, yeah
'Cause there's beauty in the breakdown",sad,2002
Enya,May it Be,"May it be an evening star
Shines down upon you
May it be when darkness falls
Your heart will be true
You walk a lonely road
Oh! How far you are from home

Mornië utúlië (Darkness has come)
Believe and you will find your way
Mornië alantië (Darkness has fallen)
A promise lives within you now

May it be the shadow's call
Will fly away
May it be you journey on
To light the day
When the night is overcome
You may rise to find the sun

Mornië utúlië (Darkness has come)
Believe and you will find your way

Mornië alantië (Darkness has fallen)
A promise lives within you now

A promise lives within you now",sad,2003
 A Great Big World,Say Something,"Say something, I'm giving up on you
I'll be the one, if you want me to
Anywhere, I would've followed you
Say something, I'm giving up on you
And I am feeling so small
It was over my head
I know nothing at all
And I will stumble and fall
I'm still learning to love
Just starting to crawl
Say something, I'm giving up on you
I'm sorry that I couldn't get to you
Anywhere, I would've followed you
Say something, I'm giving up on you
And I will swallow my pride
You're the one that I love
And I'm saying goodbye
Say something, I'm giving up on you
And I'm sorry that I couldn't get to you
And anywhere, I would have followed you
Oh, oh, oh, oh say something, I'm giving up on you
Say something, I'm giving up on you
Say something",sad,2014
Passenger,Let Her Go,"Well you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go
Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go
And you let her go
Staring at the bottom of your glass
Hoping one day you'll make a dream last
But dreams come slow and they go so fast
You see her when you close your eyes
Maybe one day you'll understand why
Everything you touch surely dies
'Cause you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go
Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go
Staring at the ceiling in the dark
Same old empty feeling in your heart
Love comes slow and it goes so fast
Well you see her when you fall asleep
But never to touch and never to keep
'Cause you loved her too much and you dive too deep
'Cause you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go
Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go
And you let her go
Oh oh oh no
And you let her go
Oh oh oh no
And you let her go
Well, you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go
Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go
'Cause you only need the light when it's burning low
Only miss the sun when it starts to snow
Only know you love her when you let her go
Only know you've been high when you're feeling low
Only hate the road when you're missing home
Only know you love her when you let her go
And you let her go",sad,2012
Lupe Fiasco and Guy Sebastian,Battle Scars,"The wound heals but it never does
That’s cause you’re at war with love
You're at war with love, yeah
These battle scars, don’t look like they’re fading
Don’t look like they’re ever going away
They ain't never gonna change
These battle
Never let a wound ruin me
But I feel like ruin's wooing me
Arrow holes that never close from cupid on a shooting spree
Feeling stupid cause I know it ain't no you and me
But when you're trying to beat the odds up
Been trying to keep your nods up and you know that you should know
And let her go but the fear of the unknown
Holding another lover's phone sends you back into the zone
With no Tom Hanks to bring you home
A lover not a fighter on the front line with a poem
Trying to write yourself a rifle
Maybe sharpen up a song
To fight the tanks and drones of you being alone
I wish I never looked, I wish I never touched
I wish that I could stop loving you so much
Cause I’m the only one that's trying to keep us together
When all of the signs say that I should forget her
I wish you weren’t the best, the best I ever had
I wish that the good outweighed the bad
Cause it’ll never be over, until you tell me it's over
These battle scars, don’t look like they’re fading
Don’t look like they’re ever going away
They ain't never gonna change
These battle scars, don’t look like they’re fading
Don’t look like they’re ever going away
They ain't never gonna change
These battle
You shouldn't have but you said it
(And I hope you never come back)
It shouldn't have happened but you let it
Now you're down on the ground screaming medic
The only thing that comes is the post-traumatic stresses
Shields, body armours and vests
Don't properly work, that's why you're in a locker full of hurt
The enemy within and all the fires from your friends
The best medicine is to probably just let her win
I wish I couldn't feel, I wish I couldn't love
I wish that I could stop 'cause it hurts so much
And I’m the only one that's trying to keep us together
When all of the signs say that I should forget her
I wish you weren’t the best, the best I ever had
I wish that the good outweighed the bad
Cause it’ll never be over, until you tell me it's over
These battle scars, don’t look like they’re fading
Don’t look like they’re ever going away
They ain't never gonna change
These battle scars, don’t look like they’re fading
Don’t look like they’re ever going away
They ain't never gonna change
These battle
'Cause you've set me on fire
I’ve never felt so alive, yeah
Hoping wounds heal, but it never does
That's because you're at war with love
And I’m at the point of breaking
And it’s impossible to shake it
See, you hoped the wound heals, but it never does
That's cause you're at war with love
Hope it heals, but it never does
That's cause you're at war with love!
These battle scars, don’t look like they’re fading
Don’t look like they’re ever going away
They ain't never gonna change
These battle scars, don’t look like they’re fading
Don’t look like they’re ever going away
They ain't never gonna change
These battle scars, don’t look like they’re fading
Don’t look like they’re ever going away
They ain't never gonna change
These battle",sad,2012
Parachute,Forever & Always,"She's sitting at the table
The hour's getting later
He was supposed to be here
She's sure he would've called
She waits a little longer
There's no one in the driveway
No ones' said they've seen him
Why, is something wrong?
She looks back to the window
Suddenly the phone rings
A voice says, something's happened
That she should come right now
Her mind goes to December
She thinks of when he asked her
He bent down on his knee first
And he said
I want you forever
Forever and always
Through the good and the bad and the ugly
We'll grow old together
Forever and always
She pulls up to the entrance
She walks right to the front desk
They lead her though a million halls
A maze that's never ending
They talk about what happened
But she can barely hear them
She tries to keep a straight face
As she walks into the room
She sits by his bedside
Holds his hand too tight
They talk about the kids they're gonna have
And the good life
The house on the hillside
Where they would
Stay, stay there forever
Forever and always
Through the good and the bad and the ugly
We'll grow old together
And always remember
Whether rich or for poor or for better
We'll still love each other
Forever and always
Then she gets an idea
And calls in the nurses
Brings up the chaplain
And he says a couple verses
She borrows some rings
From the couple next door
Everybody's laughing
As the tears fall on the floor
She looks into his eyes and she says
I want you forever
Forever and always
Through the good and the bad and the ugly
We'll grow old together
And always remember
Whether happy or sad or whatever
We'll still love each other
Forever and always
Forever and always
Forever and always
She finishes the vows but
The beeps are getting too slow
His voice is almost too low
As he says
I'll love you forever
Forever and always
Please just remember
Even if I'm not there
I'll always love you
Forever and always",sad,2011
Nina Simone,I Can't See Nobody,"I walk the lonely streets
I watch the people passing by
I used to smile and say hello
Guess I was just a happy guy
Then you happened, girl, this feeling that posesses me
I just can't move myself
I guess it all just had to be
I can't see nobody...no, I can't see nobody
Mine eyes can only look at you...you
I used to have a brain
I used to think of many things
I watched the falling rain and listened to the sweet birds sing.
Don't ask me why, little girl
I love you and that's all I can say
You're ev'ry ,ev'ry breath I take
You are my nights; my night and day
I can't see nobody...no, I can't see nobody
Mine eyes can only look at you...you
Every single word you hear...
Is coming from this heart of mine
I never felt like this before...
A love like yours so young and fine
And now as I try to forget you...
It doesn't work out any way
I loved you such a long time ago...
But in my eyes you'll always be
Every single word you hear...
Is coming from this heart of mine
I loved you such a long time ago...don't know why...
And I don't know why...baby...
I can't see nobody...no, I can't see nobody
Mine eyes can only look at you...you",sad,1969
The Beatles,Eleanor Rigby,"Ah look at all the lonely people
Ah look at all the lonely people
Eleanor Rigby, picks up the rice
In the church where a wedding has been
Lives in a dream
Waits at the window, wearing the face
That she keeps in a jar by the door
Who is it for
All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?
Father McKenzie, writing the words
Of a sermon that no one will hear
No one comes near
Look at him working, darning his socks
In the night when there's nobody there
What does he care
All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?
Ah look at all the lonely people
Ah look at all the lonely people
Eleanor Rigby, died in the church
And was buried along with her name
Nobody came
Father McKenzie, wiping the dirt
From his hands as he walks from the grave
No one was saved
All the lonely people
Where do they all come from?
All the lonely people
Where do they all belong?",sad,1966
A Fine Frenzy,Almost Lover,"Your fingertips across my skin
The palm trees swaying in the wind
Images
You sang me Spanish lullabies
The sweetest sadness in your eyes
Clever trick
Well, I never want to see you unhappy
I thought you'd want the same for me
Goodbye, my almost lover
Goodbye, my hopeless dream
I'm trying not to think about you
Can't you just let me be?
So long, my luckless romance
My back is turned on you
Should've known you'd bring me heartache
Almost lovers always do
We walked along a crowded street
You took my hand and danced with me
Images
And when you left, you kissed my lips
You told me you would never, never forget
These images
Well, I'd never want to see you unhappy
I thought you'd want the same for me
Goodbye, my almost lover
Goodbye, my hopeless dream
I'm trying not to think about you
Can't you just let me be?
So long, my luckless romance
My back is turned on you
Should've known you'd bring me heartache
Almost lovers always do
I cannot go to the ocean
I cannot drive the streets at night
I cannot wake up in the morning
Without you on my mind
So you're gone and I'm haunted
And I bet you are just fine
Did I make it that easy to walk right in and out
Of my life?
Goodbye, my almost lover
Goodbye, my hopeless dream
I'm trying not to think about you
Can't you just let me be?
So long, my luckless romance
My back is turned on you
Should've known you'd bring me heartache
Almost lovers always do",sad,2007
R.E.M.,Everybody Hurts,"When your day is long
And the night
The night is yours alone
When you're sure you've had enough
Of this life
Well hang on
Don't let yourself go
'Cause everybody cries
And everybody hurts sometimes
Sometimes everything is wrong
Now it's time to sing along
When your day is night alone (hold on)
(Hold on) if you feel like letting go (hold on)
If you think you've had too much
Of this life
Well, hang on
'Cause everybody hurts
Take comfort in your friends
Everybody hurts
Don't throw your hand
Oh, no
Don't throw your hand
If you feel like you're alone
No, no, no, you're not alone
If you're on your own
In this life
The days and nights are long
When you think you've had too much
Of this life
To hang on
Well, everybody hurts sometimes
Everybody cries
And everybody hurts sometimes
And everybody hurts sometimes
So, hold on, hold on
Hold on, hold on
Hold on, hold on
Hold on, hold on
Everybody hurts
You are not alone",sad,1992
